 											SMMID	#N/A	#N/A										SMMID:	MF	MW	CAS	CN	Organism	Synonyms
(ACOX-1)																							 bhas#10	 C15H28O7	320.38	 1355682-49-3	" 3R-hydroxy-8R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-nonanoic acid"	" <i>C. elegans, P. redivivus</i>"	 none
(ACOX-1)																							 bhas#16	 C16H30O7	334.4	 1355682-50-6	" 3R-hydroxy-9R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-decanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#18	 C17H32O7	348.43	 1355682-52-8	" 3R-hydroxy-10R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-undecanoic acid"	" <i>C. elegans, P. redivivus</i>"	 none
(ACOX-1)																							 bhas#20	 C18H34O7	362.46	 1355682-54-0	" 3R-hydroxy-11R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-dodecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#22	 C19H36O7	376.48	 1355681-17-2	" 3R-hydroxy-12R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tridecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#24	 C20H38O7	390.51	 1355682-56-2	" 3R-hydroxy-13R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tetradecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#26	 C21H40O7	404.54	 1355682-58-4	" 3R-hydroxy-14R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-pentadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#28	 C22H42O7	418.56	 1355682-60-8	" 3R-hydroxy-15R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-hexadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#30	 C23H44O7	432.59	 1355682-63-1	" 3R-hydroxy-16R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-heptadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#32	 C24H46O7	446.62	 1355682-64-2	" 3R-hydroxy-17R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-octadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#34	 C25H48O7	460.64	 1355682-66-4	" 3R-hydroxy-18R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-nonadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#36	 C26H50O7	474.67	 1355682-68-6	" 3R-hydroxy-19R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-icosanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#38	 C27H52O7	488.7	 1355682-70-0	" 3R-hydroxy-20R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-henicosanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#40	 C28H54O7	502.72	 tbd	" 3R-hydroxy-21R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-docosanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhas#42	 C29H56O7	516.75	 tbd	" 3R-hydroxy-21R-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tricosanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#10	 C15H28O7	320.38	 1355682-72-2	" 3R-hydroxy-9-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-nonanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#16	 C16H30O7	334.4	 1355682-73-3	" 3R-hydroxy-10-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-decanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#18	 C17H32O7	348.43	 1355682-75-5	" 3R-hydroxy-11-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-undecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#20	 C18H34O7	362.46	 1355682-77-7	" 3R-hydroxy-12-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-dodecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#22	 C19H36O7	376.48	 1355682-79-9	" 3R-hydroxy-13-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tridecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#24	 C20H38O7	390.51	1355682-80-2	" 3R-hydroxy-14-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-tetradecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#26	 C21H40O7	404.54	 1355681-23-0	" 3R-hydroxy-15-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-pentadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#28	 C22H42O7	418.56	 1355682-81-3	" 3R-hydroxy-16-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-hexadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#30	 C23H44O7	432.59	 1355682-83-5	" 3R-hydroxy-17-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-heptadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#32	 C24H46O7	446.62	 1413439-62-9	" 3R-hydroxy-18-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-octadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#34	 C25H48O7	460.64	 1355682-87-9	" 3R-hydroxy-19-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-nonadecanoic acid"	 <i>C. elegans</i>	 none
(ACOX-1)																							 bhos#36	 C26H50O7	474.67	 1355682-89-1	" 3R-hydroxy-20-(3'R,5'R-dihydroxy-6'S-methyl-(2H)-tetrahydropyran-2'-yloxy)-icosanoic acid"	 <i>C. elegans</i>	 none
